sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
安南,臺南市,112,臭氧八小時,對敏感族群不健康,1.6,0.44,71.6,74.2,50,36,9.6,9.6,0,0.3,325,2024-05-20 21:00,,0.3,37.2,59,1,120.2175,23.048197,45
善化,臺南市,109,細懸浮微粒,對敏感族群不健康,1.4,0.45,53.2,62.9,69,37,13.2,14,0.8,0.5,355,2024-05-20 21:00,,0.3,38.7,72,1,120.29740529,23.11337642,44
新營,臺南市,67,細懸浮微粒,普通,1.2,0.25,49.5,58.7,58,20,8.2,8.8,0.6,0.3,27,2024-05-20 21:00,,0.3,21.9,54,1,120.31725,23.305633,43
嘉義,嘉義市,71,細懸浮微粒,普通,1.4,0.28,43.6,51.5,21,17,5.8,6.8,0.9,2,71,2024-05-20 21:00,,0.3,23.5,43,6,120.44125148,23.46477865,42
臺西,雲林縣,34,,良好,0.7,0.14,32.2,37.7,22,5,4.8,5.3,0.5,1.1,63,2024-05-20 21:00,,0.1,7.1,26,1,120.19933333,23.702175,41
朴子,嘉義縣,65,細懸浮微粒,普通,1.2,0.22,28.2,43.1,34,18,9.8,11.6,1.8,0.3,79,2024-05-20 21:00,,0.2,21.3,35,1,120.2478,23.46538,40
新港,嘉義縣,65,細懸浮微粒,普通,2.7,0.19,39.3,46.3,39,10,5.6,6.4,0.8,0.6,67,2024-05-20 21:00,,0.2,21.2,45,2,120.345531,23.554839,39
崙背,雲林縣,46,,良好,0.5,0.15,29,37.5,30,9,3.6,4.4,0.7,0.3,303,2024-05-20 21:00,,0.1,14.1,34,1,120.348742,23.757547,38
斗六,雲林縣,65,細懸浮微粒,普通,0.9,0.29,35,51.3,30,19,7.5,8.7,1.2,1.2,111,2024-05-20 21:00,,0.3,21.2,44,1,120.544994,23.711853,37
南投,南投縣,66,細懸浮微粒,普通,0.5,0.29,27.8,56.0,43,22,8,8.5,0.5,1.7,168,2024-05-20 21:00,,0.3,21.5,44,0,120.685306,23.913,36
二林,彰化縣,53,細懸浮微粒,普通,1,0.15,28.5,44.0,24,9,3.3,3.4,0.1,0.7,351,2024-05-20 21:00,,0.1,16.3,32,2,120.409653,23.925175,35
線西,彰化縣,39,,良好,0.6,0.16,29.9,42.9,27,4,6.1,6.6,0.5,0.4,31,2024-05-20 21:00,,0.2,7.6,26,1,120.469061,24.131672,34
彰化,彰化縣,35,,良好,1.3,0.23,27.3,37.3,29,8,11.2,12.7,1.5,0.9,197,2024-05-20 21:00,,0.3,10.9,31,1,120.541519,24.066,33
西屯,臺中市,62,細懸浮微粒,普通,3.1,0.41,17.1,44.9,53,21,30.7,31.3,0.6,1.3,176,2024-05-20 21:00,,0.3,20,44,1,120.616917,24.162197,32
忠明,臺中市,53,細懸浮微粒,普通,3.9,0.46,23.3,44,49,16,25,26.4,1.3,2.1,199,2024-05-20 21:00,,0.4,16.2,40,1,120.641092,24.151958,31
大里,臺中市,68,細懸浮微粒,普通,1.9,0.51,32.3,46.5,45,24,16.6,17.2,0.5,1.2,252,2024-05-20 21:00,,0.4,22.3,46,2,120.67844444,24.09961111,30
沙鹿,臺中市,53,細懸浮微粒,普通,0.8,0.36,27.6,47.2,35,11,13.3,14.1,0.7,0.8,192,2024-05-20 21:00,,0.3,16.4,36,1,120.568794,24.225628,29
豐原,臺中市,75,細懸浮微粒,普通,0.6,0.39,46,54.7,52,25,11.8,12.9,1.1,0.8,110,2024-05-20 21:00,,0.3,25.2,51,1,120.74252414,24.25699731,28
三義,苗栗縣,59,細懸浮微粒,普通,1.2,0.33,27.3,50.7,34,21,8.4,9.6,1.1,0.3,243,2024-05-20 21:00,,0.3,18.6,31,1,120.75956754,24.38248443,27
苗栗,苗栗縣,52,細懸浮微粒,普通,5,0.21,12.4,33.0,15,11,17.7,19.7,2,1.4,14,2024-05-20 21:00,,0.2,15.9,32,2,120.82011468,24.56499183,26
頭份,苗栗縣,41,,良好,1.5,0.36,10.2,29.7,21,9,16.3,18.6,2.3,0.9,28,2024-05-20 21:00,,0.2,12.6,28,1,120.89869286,24.69690679,25
新竹,新竹市,31,,良好,0.3,0.33,16.7,34.3,12,6,14.7,15.2,0.5,1.5,64,2024-05-20 21:00,,0.2,7,13,0,120.97236752,24.8056356,24
竹東,新竹縣,46,,良好,0.3,0.23,16,33.1,11,10,9.2,9.8,0.6,0.2,102,2024-05-20 21:00,,0.2,14.3,16,0,121.08895493,24.74091408,23
湖口,新竹縣,29,,良好,0.4,0.25,22.7,31.7,7,6,8.8,9.4,0.6,2.4,53,2024-05-20 21:00,,0.2,9,14,0,121.03886894,24.90009696,22
龍潭,桃園市,24,,良好,0.8,0.28,20.1,26.4,8,3,11.8,13.5,1.7,1.9,67,2024-05-20 21:00,,0.2,3.3,12,0,121.21645772,24.86400048,21
